T17,Employment by economic activity,,,,,,,
Region/Country/Area,,Year,Series,Department,Gender,Value,Footnotes,Source
2,Africa,2010,Employment by industry,Services,Female,34.799,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Agriculture,Male and Female,50.379,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Industry,Male and Female,12.97,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Services,Male and Female,36.652,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Agriculture,Male,48.257,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Industry,Male,16.563,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Services,Male,35.18,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Agriculture,Female,53.207,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Industry,Female,8.179,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
2,Africa,2015,Employment by industry,Services,Female,38.614,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
